Survived,Age,Fare,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,0.2711736617240512,0.014151057562208049,0,0,1,0,1,0,0,1
1,0.4722292033174164,0.13913573538264068,1,0,0,1,0,1,0,0
1,0.32143754712239253,0.015468569817999833,0,0,1,1,0,0,0,1
1,0.4345312892686604,0.10364429745562033,1,0,0,1,0,0,0,1
0,0.4345312892686604,0.015712553569072387,0,0,1,0,1,0,0,1
0,0.6732847449107816,0.10122885832000206,1,0,0,0,1,0,0,1
0,0.01985423473234481,0.04113566043083236,0,0,1,0,1,0,0,1
1,0.33400351847197784,0.021730754366528396,0,0,1,1,0,0,0,1
1,0.17064589092736868,0.058694292654020104,0,1,0,1,0,1,0,0
1,0.04498617743151546,0.03259622914329302,0,0,1,1,0,0,0,1
1,0.723548630309123,0.051822148727810165,1,0,0,1,0,0,0,1
0,0.24604171902488062,0.015712553569072387,0,0,1,0,1,0,0,1
0,0.4847951746670017,0.06104473451835265,0,0,1,0,1,0,0,1
0,0.17064589092736868,0.015330377421392339,0,0,1,1,0,0,0,1
1,0.685850716260367,0.03122992013728673,0,1,0,1,0,0,0,1
0,0.01985423473234481,0.05684821399990475,0,0,1,0,1,0,1,0
0,0.38426740387031916,0.03513366015444757,0,0,1,1,0,0,0,1
0,0.4345312892686604,0.050748620223090936,0,1,0,0,1,0,0,1
1,0.4219653179190751,0.025374310111545468,0,1,0,0,1,0,0,1
1,0.18321186227695402,0.015671954672893913,0,0,1,1,0,0,1,0
1,0.34656948982156316,0.06929138530460494,1,0,0,0,1,0,0,1
0,0.09525006282985675,0.04113566043083236,0,0,1,1,0,0,0,1
1,0.4722292033174164,0.06126431989431795,0,0,1,1,0,0,0,1
0,0.2334757476752953,0.5133418122566507,1,0,0,0,1,0,0,1
0,0.49736114601658704,0.05410739813385612,1,0,0,0,1,1,0,0
0,0.8240764011058055,0.020494635090094415,0,1,0,0,1,0,0,1
0,0.34656948982156316,0.16038672010106003,1,0,0,0,1,1,0,0
0,0.5224930887157577,0.10149724044618187,1,0,0,0,1,0,0,1
0,0.2586076903744659,0.015712553569072387,0,0,1,0,1,0,0,1
0,0.22090977632571,0.03513366015444757,0,0,1,1,0,0,0,1
1,0.17064589092736868,0.021942337075458514,0,0,1,1,0,1,0,0
0,0.49736114601658704,0.018493968331299484,0,0,1,1,0,0,0,1
0,0.33400351847197784,0.04098927018018883,0,1,0,1,0,0,0,1
1,0.032420206081930136,0.08115719346076702,0,1,0,1,0,1,0,0
1,0.2334757476752953,0.01537917417160685,0,0,1,1,0,0,1,0
